lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
QualEngag	=~	QIstudent	1	1		0.988914784721263	0.0149311785904473	66.23152879264	0	0.975282208773071	0.90834297930101	0.90834297930101
QualEngag	=~	QIadvisor	1	1		0.990959416572258	0.0152030887472044	65.1814531277061	0	0.977298654576669	0.916540473876426	0.916540473876426
QualEngag	=~	QIfaculty	1	1		0.99731996546644	0.0146060365808534	68.2813547635365	0	0.983571520823962	0.928338003261712	0.928338003261712
QualEngag	=~	QIstaff	1	1		1.00439118038895	0.0147372968238148	68.1530128894397	0	0.990545256291246	0.920947746067117	0.920947746067117
EmoDiss	~	x_FASt	1	1	W3__a1_g1	0.163477474911338	0.111970924933917	1.45999932578765	0.144290259227734	0.169384809131682	0.0844224678490053	0.169384809131682
EmoDiss	~	credit_dose_c	1	1	W3__a1c_g1	-0.0148202879312218	0.0766367594152621	-0.193383541322734	0.846658604267578	-0.0153558258950846	-0.0282694742184994	-0.0153558258950846
EmoDiss	~	XZ_c	1	1	W3__a1z_g1	0.0593101846562029	0.0800572728219199	0.740846928275123	0.458786257468619	0.0614533856300648	0.0854097298174603	0.0614533856300648
EmoDiss	~	cohort	1	1	W3__g1_g1	0.0207861962642527	0.0438097889690104	0.474464651700471	0.635168599182648	0.0215373150870091	0.0107623518934216	0.0215373150870091
EmoDiss	~	hgrades_c	1	1		-0.00904718969592786	0.0226363738200287	-0.399674867002014	0.689396005897529	-0.00937411408301958	-0.00902691076613772	-0.00937411408301958
EmoDiss	~	bparented_c	1	1		0.00544588503636881	0.023197989142504	0.234756771499247	0.81439752147719	0.00564267461274834	0.00545807890589882	0.00564267461274834
EmoDiss	~	hapcl	1	1		-0.107839804591053	0.052626475114021	-2.04915499959681	0.0404469608130296	-0.111736645842861	-0.0472092699458259	-0.111736645842861
EmoDiss	~	hprecalc13	1	1		-0.0678923362460152	0.048549933248366	-1.39840225729456	0.161992305705052	-0.0703456572397646	-0.0321830916838604	-0.0703456572397646
EmoDiss	~	hchallenge_c	1	1		-0.00194780218689361	0.0172518641966446	-0.112903867355532	0.910106770232335	-0.00201818692044382	-0.00251904133689165	-0.00201818692044382
EmoDiss	~	cSFcareer_c	1	1		0.00754530835061704	0.0264597126873355	0.285162142150866	0.77551992288452	0.00781796156016053	0.00631794765220219	0.00781796156016053
QualEngag	~	x_FASt	1	1	W3__a2_g1	0.151247675577084	0.120591137358938	1.25421883307143	0.209762476361361	0.153361828184139	0.0764365120786884	0.153361828184139
