lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
W5__total_z_mid_g3	:=	W5__dir_z_mid_g3+W5__ind_EmoDiss_z_mid_g3+W5__ind_QualEngag_z_mid_g3	0	0	W5__total_z_mid_g3	0.111703777242188	0.0658450010826283	1.69646556922388	0.0897977453359899	0.484886029596041	0.242352984005683	0.484886029596041
W5__total_z_high_g1	:=	W5__dir_z_high_g1+W5__ind_EmoDiss_z_high_g1+W5__ind_QualEngag_z_high_g1	0	0	W5__total_z_high_g1	-0.225819672475184	0.162359898012597	-1.39085867408998	0.164268286584491	-0.708610727786329	-0.638294031188276	-0.708610727786329
W5__total_z_high_g2	:=	W5__dir_z_high_g2+W5__ind_EmoDiss_z_high_g2+W5__ind_QualEngag_z_high_g2	0	0	W5__total_z_high_g2	-0.120335601853478	0.101426648262881	-1.1864298378626	0.2354525941554	-0.627824640081928	-0.678589424929242	-0.627824640081928
W5__total_z_high_g3	:=	W5__dir_z_high_g3+W5__ind_EmoDiss_z_high_g3+W5__ind_QualEngag_z_high_g3	0	0	W5__total_z_high_g3	0.101171062529887	0.144568431652718	0.699814346557479	0.48404325401491	0.439165407215987	0.176104512327277	0.439165407215987
W5__index_MM_EmoDiss_g1	:=	W5__a1z_g1*W5__b1_g1	0	0	W5__index_MM_EmoDiss_g1	-0.0114550416112151	0.0220521949972224	-0.519451311429902	0.603446057353726	-0.035945342068627	-0.0466063809535191	-0.035945342068627
W5__index_MM_EmoDiss_g2	:=	W5__a1z_g2*W5__b1_g2	0	0	W5__index_MM_EmoDiss_g2	-0.0104679998530404	0.0111347969544357	-0.940115917324417	0.347158104984176	-0.0546144959503759	-0.081572601774856	-0.0546144959503759
W5__index_MM_EmoDiss_g3	:=	W5__a1z_g3*W5__b1_g3	0	0	W5__index_MM_EmoDiss_g3	-0.0279848752643749	0.0163498119730143	-1.71163285000247	0.0869643505372324	-0.121477316082721	-0.176018744171467	-0.121477316082721
W5__index_MM_QualEngag_g1	:=	W5__a2z_g1*W5__b2_g1	0	0	W5__index_MM_QualEngag_g1	0.0033029245496173	0.0174237187241001	0.189564845594573	0.849650136805405	0.0103644104310038	0.0134383937697338	0.0103644104310038
W5__index_MM_QualEngag_g2	:=	W5__a2z_g2*W5__b2_g2	0	0	W5__index_MM_QualEngag_g2	-0.0152929436650154	0.00912844466461492	-1.67530660773968	0.0938740896533343	-0.0797875832621185	-0.119171305031044	-0.0797875832621185
W5__index_MM_QualEngag_g3	:=	W5__a2z_g3*W5__b2_g3	0	0	W5__index_MM_QualEngag_g3	0.00111852826504608	0.0158621766267514	0.0705154337494697	0.943783416772674	0.00485533025667732	0.00703529812706841	0.00485533025667732
