lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
EmoDiss	=~	MHWdlonely	1	1		0.987486130369785	0.0211220921019075	46.7513409943235	0	1.05307148649467	0.937379435661373	0.937379435661373
EmoDiss	=~	MHWdmental	1	1		0.980066881929129	0.0194266028065533	50.44973079897	0	1.04515947766357	0.941775754449806	0.941775754449806
EmoDiss	=~	MHWdexhaust	1	1		0.983648117847945	0.0191924874347977	51.2517265513225	0	1.04897856667812	0.943350321397992	0.943350321397992
EmoDiss	=~	MHWdsleep	1	1		1.01373809943616	0.0201196308125683	50.3855219253275	0	1.08106701902714	0.930600371025172	0.930600371025172
EmoDiss	=~	MHWdfinancial	1	1		0.961383860552245	0.0233137039994781	41.2368562530332	0	1.02523559570869	0.889156480444324	0.889156480444324
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	0.954725727050867	0.889907198778172	0.889907198778172
QualEngag	=~	QIstudent	1	1		1.02967439213931	0.0245854935787821	41.8813797184837	0	0.983056632660865	0.913786030435625	0.913786030435625
QualEngag	=~	QIadvisor	1	1		1.01638361290592	0.0240585760229238	42.2462082517882	0	0.97036758379419	0.917964740969165	0.917964740969165
QualEngag	=~	QIfaculty	1	1		0.986076396498276	0.0234209797665498	42.102269261451	0	0.941432504574516	0.923089973273002	0.923089973273002
QualEngag	=~	QIstaff	1	1		1.00338233622766	0.0258616066404388	38.79814391186	0	0.957954930464952	0.901357166432295	0.901357166432295
EmoDiss	~	x_FASt	1	1	W1__a1_g1	0.251955877889105	0.236775862812538	1.06411132830962	0.287278269606064	0.236264050514574	0.114970188761286	0.236264050514574
EmoDiss	~	credit_dose_c	1	1	W1__a1c_g1	-0.134983322043414	0.172234965687387	-0.783716137456165	0.433206691365672	-0.126576552549915	-0.251500609550045	-0.126576552549915
EmoDiss	~	XZ_c	1	1	W1__a1z_g1	0.0949459298527347	0.17486917679428	0.542954061963884	0.587161431928115	0.0890326915760743	0.138902473759278	0.0890326915760743
EmoDiss	~	cohort	1	1	W1__g1_g1	0.0307415495448679	0.0755399475287699	0.406957517850536	0.684039190025236	0.0288269639724846	0.0144093670539048	0.0288269639724846
EmoDiss	~	hgrades_c	1	1		-0.00192610513381432	0.044249977695867	-0.0435278215743423	0.965280787128899	-0.00180614718912087	-0.0015259700617312	-0.00180614718912087
EmoDiss	~	bparented_c	1	1		-0.0251492648592276	0.037127409650525	-0.677377309539071	0.498166591106073	-0.023582967116648	-0.023249379413873	-0.023582967116648
EmoDiss	~	pell	1	1		0.280210397918279	0.0974528567343463	2.87534308698743	0.00403588692082457	0.262758877320623	0.107806293700778	0.262758877320623
EmoDiss	~	hapcl	1	1		-0.238402004201121	0.080247452886162	-2.97083577891644	0.00296990544304898	-0.223554312902914	-0.109298175650064	-0.223554312902914
EmoDiss	~	hprecalc13	1	1		-0.0477190889618997	0.0757959995669381	-0.629572658643511	0.528974216763498	-0.044747141203691	-0.022270766941155	-0.044747141203691
EmoDiss	~	hchallenge_c	1	1		-0.0034241813941889	0.032405900713692	-0.105665367071316	0.9158478595468	-0.00321092316903115	-0.00391447089712711	-0.00321092316903115
EmoDiss	~	cSFcareer_c	1	1		0.108155740870481	0.04808396171993	2.24931010261686	0.0244927735198883	0.101419794761491	0.0817396699370778	0.101419794761491
